task_id,task_name,category,priority,task_duration_days,days_until_deadline,percent_complete,expected_percent_complete,num_dependencies,num_dependencies_incomplete,resource_availability_pct,team_workload_score,past_delays_count,progress_gap,risk_score_raw,risk_label
T0067,Research task 67,Research,Low,13,-1,41.3,100.0,2,1,46.2,5.7,0,58.7,0.36723397057145774,High
T0068,Presentation task 68,Presentation,High,6,6,26.9,0.0,2,1,73.2,6.8,0,-26.9,0.21502832817424392,Medium
T0069,Design task 69,Design,High,2,19,25.4,0.0,5,5,100.0,6.4,0,-25.4,0.25354861870152723,Medium
T0070,Development task 70,Development,Medium,7,-1,57.2,100.0,3,1,66.4,6.1,1,42.8,0.4819282191795117,High
T0071,Testing task 71,Testing,Medium,12,6,63.2,50.0,4,1,79.0,4.1,2,-13.200000000000003,0.16660785371015108,Low
T0072,Testing task 72,Testing,Medium,3,0,35.2,100.0,3,3,80.9,3.0,0,64.8,0.43771262608429146,High
T0073,Testing task 73,Testing,Low,7,19,55.7,0.0,2,2,49.3,6.4,0,-55.7,0.2924783896843572,Medium
T0074,Presentation task 74,Presentation,Low,2,13,69.3,0.0,3,3,80.2,6.1,1,-69.3,0.18331252450983526,Low
T0075,Documentation task 75,Documentation,Medium,10,15,70.5,0.0,3,1,42.1,3.6,0,-70.5,0.13030410824001787,Low
T0076,Presentation task 76,Presentation,Medium,7,14,93.8,0.0,4,2,57.5,7.8,0,-93.8,0.2925252984076499,Medium
T0077,Testing task 77,Testing,Medium,5,13,86.9,0.0,1,0,91.5,2.8,0,-86.9,0.04238297800231683,Low
T0078,Presentation task 78,Presentation,High,4,15,30.0,0.0,3,2,77.1,3.5,1,-30.0,0.24964207864156995,Medium
T0079,Testing task 79,Testing,Low,8,-2,97.1,100.0,1,0,63.9,9.1,0,2.9000000000000057,0.1724553874560976,Low
T0080,Testing task 80,Testing,Low,10,17,41.7,0.0,4,4,78.9,7.2,1,-41.7,0.304193596800479,Medium
T0081,Documentation task 81,Documentation,Low,14,15,81.1,0.0,4,0,68.8,4.1,0,-81.1,0.08452437508061074,Low
T0082,Presentation task 82,Presentation,Low,7,15,56.7,0.0,3,1,70.3,5.7,0,-56.7,0.22784242913066033,Medium
T0083,Research task 83,Research,Medium,3,7,44.7,0.0,5,1,83.1,5.4,1,-44.7,0.18998813840833112,Low
T0084,Presentation task 84,Presentation,High,12,16,9.8,0.0,3,2,55.5,0.0,0,-9.8,0.19886260750441492,Low
T0085,Documentation task 85,Documentation,High,9,6,50.7,33.3,0,0,70.8,2.7,1,-17.400000000000006,0.17803716857087176,Low
T0086,Presentation task 86,Presentation,Medium,10,-1,16.0,100.0,3,2,63.8,4.9,0,84.0,0.5633956445356718,High
T0087,Documentation task 87,Documentation,Medium,2,18,79.2,0.0,4,4,38.3,4.1,2,-79.2,0.41413737509836934,High
T0088,Presentation task 88,Presentation,Low,5,3,92.9,40.0,0,0,51.6,5.6,1,-52.900000000000006,0.14105635912267983,Low
T0089,Design task 89,Design,Medium,11,0,35.1,100.0,0,0,100.0,7.8,1,64.9,0.3567727791783819,High
T0090,Design task 90,Design,Medium,12,12,62.5,0.0,1,1,77.7,4.2,0,-62.5,0.23408732857491696,Medium
T0091,Design task 91,Design,High,7,3,36.9,57.1,5,1,43.5,2.4,0,20.200000000000003,0.16954629641289326,Low
T0092,Design task 92,Design,Medium,12,17,39.3,0.0,3,0,39.2,5.8,1,-39.3,0.22350494808761454,Medium
T0093,Design task 93,Design,Low,12,8,74.4,33.3,5,5,67.8,4.2,0,-41.10000000000001,0.283032326352733,Medium
T0094,Development task 94,Development,Low,6,-2,54.0,100.0,5,2,100.0,4.6,4,46.0,0.47025930309941033,High
T0095,Design task 95,Design,Low,13,19,98.5,0.0,3,0,66.3,4.3,1,-98.5,0.1287444684189222,Low
T0096,Research task 96,Research,High,5,9,42.9,0.0,4,4,96.1,10.0,1,-42.9,0.33531911398144304,High
T0097,Testing task 97,Testing,Low,4,4,80.0,0.0,1,1,77.0,0.0,1,-80.0,0.18662991631291198,Low
T0098,Documentation task 98,Documentation,Low,10,13,57.4,0.0,0,0,79.4,4.0,1,-57.4,0.07443418916367774,Low
T0099,Research task 99,Research,Low,9,10,74.9,0.0,2,0,43.3,5.0,0,-74.9,0.1247396846254889,Low
T0100,Testing task 100,Testing,High,2,-2,43.8,100.0,3,3,88.8,3.0,0,56.2,0.5022214719921709,High
T0101,Testing task 101,Testing,Medium,12,15,53.8,0.0,1,1,63.3,7.2,0,-53.8,0.26158560954346816,Medium
T0102,Documentation task 102,Documentation,Medium,3,7,52.1,0.0,1,1,87.3,7.0,1,-52.1,0.22035097080145263,Medium
T0103,Research task 103,Research,Medium,12,14,34.1,0.0,0,0,53.7,4.9,1,-34.1,0.1554774616817833,Low
T0104,Documentation task 104,Documentation,Low,1,18,71.6,0.0,4,4,73.5,4.3,0,-71.6,0.34397797539191655,High
T0105,Research task 105,Research,High,12,12,71.3,0.0,5,2,77.0,4.7,1,-71.3,0.1661824129963387,Low
T0106,Design task 106,Design,Low,12,13,69.8,0.0,4,2,66.9,4.7,0,-69.8,0.17654901933589923,Low
T0107,Design task 107,Design,Low,11,3,93.4,72.7,2,1,78.1,4.8,0,-20.700000000000003,0.10614445543354191,Low
T0108,Presentation task 108,Presentation,Medium,10,3,91.2,70.0,3,0,64.7,4.5,0,-21.200000000000003,0.13833235309214426,Low
T0109,Design task 109,Design,Low,7,7,45.6,0.0,5,0,57.0,5.6,1,-45.6,0.19801084222868626,Low
T0110,Documentation task 110,Documentation,Low,10,17,64.3,0.0,3,3,100.0,6.9,0,-64.3,0.2953099057840435,Medium
T0111,Presentation task 111,Presentation,High,4,10,39.4,0.0,1,0,91.0,1.9,1,-39.4,0.06407754674819328,Low
T0112,Presentation task 112,Presentation,Medium,11,6,55.6,45.5,2,1,54.8,2.4,1,-10.100000000000001,0.23492501198737753,Medium
T0113,Design task 113,Design,Low,8,15,40.0,0.0,4,1,81.4,0.6,1,-40.0,0.13012818676067875,Low
T0114,Research task 114,Research,Medium,7,17,95.5,0.0,2,0,55.1,7.2,0,-95.5,0.23099751148461314,Medium
T0115,Design task 115,Design,Medium,8,18,64.1,0.0,5,3,46.3,5.6,2,-64.1,0.34709846610721135,High
T0116,Documentation task 116,Documentation,Low,8,4,49.5,50.0,5,4,90.7,6.3,1,0.5,0.34869890980536256,High
T0117,Design task 117,Design,Low,1,14,84.8,0.0,0,0,35.9,1.4,2,-84.8,0.14199867500502084,Low
T0118,Testing task 118,Testing,Medium,2,11,0.7,0.0,4,2,88.5,9.5,0,-0.7,0.1733970978819246,Low
T0119,Development task 119,Development,Medium,4,8,4.6,0.0,2,0,64.9,3.5,0,-4.6,0.138335937184271,Low
T0120,Documentation task 120,Documentation,High,2,7,74.9,0.0,3,0,65.8,5.4,1,-74.9,0.1879943261328055,Low
T0121,Testing task 121,Testing,Medium,7,0,56.5,100.0,1,0,78.2,7.1,0,43.5,0.41994976966905695,High
T0122,Testing task 122,Testing,Low,10,4,61.3,60.0,2,2,81.6,2.5,1,-1.2999999999999972,0.28916451780848534,Medium
T0123,Documentation task 123,Documentation,Medium,10,10,21.8,0.0,1,0,53.5,3.6,0,-21.8,0.22102362279322826,Medium
T0124,Presentation task 124,Presentation,Medium,7,18,54.4,0.0,0,0,84.4,5.4,1,-54.4,0.1520593656829933,Low
T0125,Development task 125,Development,Low,12,17,100.0,0.0,4,1,72.3,10.0,1,-100.0,0.25965719626359807,Medium
T0126,Testing task 126,Testing,Medium,8,2,75.6,75.0,0,0,44.9,5.8,0,-0.5999999999999943,0.13040084393371265,Low
T0127,Testing task 127,Testing,Low,2,13,59.2,0.0,2,0,66.6,9.0,1,-59.2,0.21717149339237068,Medium
T0128,Documentation task 128,Documentation,High,11,-1,44.0,100.0,1,0,97.6,8.0,0,56.0,0.3519748321564341,High
T0129,Development task 129,Development,High,9,13,45.1,0.0,0,0,100.0,5.9,0,-45.1,0.09907550067162356,Low
T0130,Development task 130,Development,Medium,9,5,1.8,44.4,2,2,84.3,2.5,4,42.6,0.3962089926488161,High
T0131,Presentation task 131,Presentation,High,8,8,61.4,0.0,5,2,46.2,7.6,0,-61.4,0.2849533461091734,Medium
T0132,Presentation task 132,Presentation,High,8,14,76.1,0.0,5,3,79.8,1.3,0,-76.1,0.14493346452307448,Low
T0133,Testing task 133,Testing,Low,2,7,15.6,0.0,2,0,87.0,9.0,4,-15.6,0.25125100953662927,Medium
T0134,Research task 134,Research,Medium,8,16,38.5,0.0,3,0,84.5,5.5,3,-38.5,0.019592284356247103,Low
T0135,Design task 135,Design,Medium,12,10,26.1,16.7,5,4,85.7,0.0,1,-9.400000000000002,0.18094967875789222,Low
T0136,Development task 136,Development,Low,5,20,30.9,0.0,1,0,77.3,4.1,0,-30.9,0.1556744889576281,Low
T0137,Documentation task 137,Documentation,Medium,9,12,56.3,0.0,5,2,68.6,6.6,1,-56.3,0.32293575875614405,Medium
T0138,Documentation task 138,Documentation,Low,1,4,2.9,0.0,0,0,57.8,4.4,0,-2.9,0.1758980669192532,Low
T0139,Documentation task 139,Documentation,High,5,15,70.4,0.0,1,0,32.0,6.8,0,-70.4,0.28824415112912694,Medium
T0140,Research task 140,Research,Medium,7,7,73.8,0.0,2,0,76.8,2.9,0,-73.8,0.08674679978793712,Low
T0141,Development task 141,Development,High,14,10,48.7,28.6,0,0,73.7,1.7,0,-20.1,0.06509312879635315,Low
T0142,Documentation task 142,Documentation,Medium,4,1,0.0,75.0,4,2,81.2,4.8,1,75.0,0.5258374488280543,High
T0143,Presentation task 143,Presentation,Low,4,0,30.1,100.0,5,5,43.2,5.1,1,69.9,0.6395236191887801,High
T0144,Research task 144,Research,High,6,11,85.8,0.0,2,0,82.9,4.1,0,-85.8,0.04803212659913195,Low
T0145,Presentation task 145,Presentation,Low,14,2,0.0,85.7,5,4,100.0,8.1,1,85.7,0.575687987793405,High
T0146,Research task 146,Research,Low,12,20,46.3,0.0,4,2,71.6,2.9,0,-46.3,0.11049235469619216,Low
T0147,Design task 147,Design,Medium,1,17,25.5,0.0,4,3,68.8,5.8,2,-25.5,0.3135521880765956,Medium
T0148,Presentation task 148,Presentation,Medium,4,14,75.1,0.0,4,0,76.2,5.2,2,-75.1,0.1476029239583572,Low
T0149,Documentation task 149,Documentation,Medium,12,14,38.1,0.0,3,3,100.0,1.1,0,-38.1,0.14848569416209517,Low
T0150,Presentation task 150,Presentation,Low,1,11,65.1,0.0,0,0,49.5,1.7,0,-65.1,0.07291581215813547,Low
T0151,Testing task 151,Testing,Medium,12,-1,69.1,100.0,5,0,74.1,5.0,0,30.900000000000006,0.30725281730998133,Medium
T0152,Testing task 152,Testing,Low,4,7,100.0,0.0,3,3,54.0,10.0,1,-100.0,0.4246890756971702,High
T0153,Testing task 153,Testing,Low,13,9,49.9,30.8,5,3,59.1,6.4,0,-19.099999999999998,0.20082430017474084,Low
T0154,Testing task 154,Testing,Medium,5,19,64.4,0.0,5,2,69.0,0.7,1,-64.4,0.07594909984455245,Low
T0155,Testing task 155,Testing,Low,7,3,17.9,57.1,1,0,96.9,0.0,0,39.2,0.20957549778105075,Medium
T0156,Design task 156,Design,Low,10,9,84.8,10.0,2,1,100.0,6.8,1,-74.8,0.11657667140890353,Low
T0157,Presentation task 157,Presentation,Medium,2,5,36.0,0.0,1,0,79.0,4.8,0,-36.0,0.13087434169112422,Low
T0158,Development task 158,Development,Medium,8,1,41.0,87.5,0,0,62.5,7.9,0,46.5,0.4583454599377007,High
T0159,Testing task 159,Testing,Low,8,0,54.4,100.0,5,3,100.0,2.8,0,45.6,0.4325617401696567,High
T0160,Documentation task 160,Documentation,Medium,11,6,15.9,45.5,5,4,61.4,5.9,2,29.6,0.45356029619827126,High
T0161,Testing task 161,Testing,Low,14,-1,60.7,100.0,5,1,58.6,7.1,1,39.3,0.451590475766106,High
T0162,Testing task 162,Testing,High,10,-1,79.2,100.0,5,1,34.5,3.9,1,20.799999999999997,0.45214537250982273,High
T0163,Research task 163,Research,Low,6,6,62.3,0.0,3,0,97.9,3.9,0,-62.3,0.0,Low
T0164,Design task 164,Design,Low,6,2,15.3,66.7,3,0,89.4,5.1,1,51.400000000000006,0.2957498828626349,Medium
T0165,Development task 165,Development,Medium,6,10,51.9,0.0,5,0,100.0,6.4,0,-51.9,0.13842459245383007,Low
T0166,Development task 166,Development,Low,12,-2,73.6,100.0,3,0,42.2,5.0,0,26.400000000000006,0.3072356496079022,Medium
T0167,Presentation task 167,Presentation,Low,5,4,8.1,20.0,3,2,99.2,7.4,1,11.9,0.3425055820970184,High
T0168,Presentation task 168,Presentation,Low,3,8,28.1,0.0,1,0,71.4,3.8,0,-28.1,0.09793229698449035,Low
T0169,Documentation task 169,Documentation,Medium,5,20,76.9,0.0,4,3,86.1,1.7,1,-76.9,0.18960385968354654,Low
T0170,Development task 170,Development,Medium,1,12,61.8,0.0,4,4,37.0,9.9,1,-61.8,0.4059329334543698,High
T0171,Research task 171,Research,Medium,2,18,65.3,0.0,4,3,99.4,3.5,2,-65.3,0.18060778539293026,Low
T0172,Documentation task 172,Documentation,High,2,5,100.0,0.0,2,1,85.7,3.6,1,-100.0,0.13142783517595075,Low
T0173,Presentation task 173,Presentation,Medium,11,8,66.7,27.3,1,0,69.2,4.8,2,-39.400000000000006,0.16509164817517213,Low
T0174,Development task 174,Development,High,11,7,71.4,36.4,0,0,82.9,5.2,2,-35.00000000000001,0.09825508504218997,Low
T0175,Documentation task 175,Documentation,Medium,10,18,100.0,0.0,3,3,54.7,4.0,0,-100.0,0.3256102441745644,Medium
T0176,Presentation task 176,Presentation,High,7,20,49.7,0.0,4,1,58.4,5.0,2,-49.7,0.2433946295634745,Medium
T0177,Testing task 177,Testing,Medium,11,20,35.1,0.0,4,2,60.7,4.9,0,-35.1,0.26742082204849205,Medium
T0178,Design task 178,Design,Medium,3,15,65.7,0.0,5,2,32.9,5.4,0,-65.7,0.19187044886701676,Low
T0179,Research task 179,Research,Low,13,9,66.0,30.8,2,2,87.2,0.0,2,-35.2,0.10089283932734446,Low
T0180,Documentation task 180,Documentation,Medium,8,10,41.8,0.0,4,2,93.8,9.7,0,-41.8,0.23459071221841182,Medium
T0181,Testing task 181,Testing,Low,14,20,29.2,0.0,4,3,56.0,4.6,0,-29.2,0.39994003067797607,High
T0182,Research task 182,Research,Medium,3,4,100.0,0.0,1,1,77.0,6.5,0,-100.0,0.30531043890472853,Medium
T0183,Research task 183,Research,Low,7,5,63.2,28.6,5,2,64.7,1.6,1,-34.6,0.13256101790799768,Low
T0184,Presentation task 184,Presentation,Low,10,18,36.7,0.0,0,0,76.6,3.8,0,-36.7,0.11332560672156707,Low
T0185,Design task 185,Design,High,7,6,77.9,14.3,3,3,57.4,3.3,0,-63.60000000000001,0.2997793453721842,Medium
T0186,Design task 186,Design,Medium,7,3,52.3,57.1,5,1,52.3,8.7,0,4.800000000000004,0.20376392129669024,Medium
T0187,Testing task 187,Testing,Medium,3,10,48.7,0.0,3,3,91.0,3.5,1,-48.7,0.3011479601183969,Medium
T0188,Development task 188,Development,Medium,6,5,69.1,16.7,5,1,68.7,6.9,0,-52.39999999999999,0.17541212699228628,Low
T0189,Presentation task 189,Presentation,Medium,4,18,22.7,0.0,0,0,100.0,3.4,0,-22.7,0.04646595776960698,Low
T0190,Documentation task 190,Documentation,High,5,18,63.8,0.0,3,3,70.9,3.9,2,-63.8,0.2866725663050261,Medium
T0191,Development task 191,Development,Medium,10,5,100.0,50.0,4,1,51.5,4.4,1,-50.0,0.2526436736320614,Medium
T0192,Design task 192,Design,Medium,9,10,66.7,0.0,3,3,94.5,8.2,1,-66.7,0.26015755875659624,Medium
T0193,Presentation task 193,Presentation,Medium,9,20,45.6,0.0,5,0,82.6,0.3,2,-45.6,0.0,Low
T0194,Testing task 194,Testing,Medium,6,15,42.3,0.0,2,1,84.5,1.7,0,-42.3,0.1315644313116689,Low
T0195,Presentation task 195,Presentation,Medium,14,2,44.7,85.7,4,4,93.8,0.1,0,41.0,0.2421170956913436,Medium
T0196,Development task 196,Development,High,2,11,48.7,0.0,2,0,56.9,2.3,0,-48.7,0.08409482024322298,Low
T0197,Research task 197,Research,Medium,5,12,45.6,0.0,5,1,67.5,3.0,0,-45.6,0.18642704782627423,Low
T0198,Presentation task 198,Presentation,Medium,2,13,77.9,0.0,0,0,66.6,1.0,0,-77.9,0.09405469517543694,Low
T0199,Design task 199,Design,Medium,5,-2,11.7,100.0,1,0,44.2,3.2,1,88.3,0.5795344699529305,High
T0200,Presentation task 200,Presentation,Medium,14,4,76.6,71.4,0,0,64.7,0.0,1,-5.199999999999989,0.11063423492680811,Low
T0201,Documentation task 201,Documentation,High,6,17,45.5,0.0,4,1,96.7,2.5,0,-45.5,0.2029667244391704,Medium
T0202,Design task 202,Design,Medium,13,3,64.4,76.9,1,0,74.7,8.0,0,12.5,0.19228801861715925,Low
T0203,Documentation task 203,Documentation,Medium,7,4,26.8,42.9,1,1,43.1,6.0,1,16.099999999999998,0.3782732505170828,High
T0204,Research task 204,Research,Medium,10,5,88.2,50.0,5,1,38.9,5.5,0,-38.2,0.18557730977270084,Low
T0205,Development task 205,Development,Medium,7,2,86.1,71.4,2,0,100.0,2.5,1,-14.699999999999989,0.1320067301624102,Low
T0206,Development task 206,Development,Low,4,1,79.0,75.0,0,0,68.2,1.2,1,-4.0,0.11928792286414186,Low
T0207,Testing task 207,Testing,Medium,11,5,17.1,54.5,0,0,57.1,2.2,0,37.4,0.31419224397220225,Medium
T0208,Testing task 208,Testing,High,14,18,75.7,0.0,1,0,64.5,4.9,1,-75.7,0.11687586889656784,Low
T0209,Testing task 209,Testing,Medium,4,-2,65.1,100.0,5,5,40.5,7.2,1,34.900000000000006,0.6430896596191826,High
T0210,Development task 210,Development,Low,11,4,14.9,63.6,3,3,98.5,7.3,0,48.7,0.47185697652719855,High
T0211,Documentation task 211,Documentation,Medium,4,-1,54.4,100.0,5,1,62.1,6.6,2,45.6,0.44049361321231756,High
T0212,Research task 212,Research,Medium,11,10,64.1,9.1,1,0,97.3,3.2,1,-54.99999999999999,0.0958387835596629,Low
T0213,Documentation task 213,Documentation,Low,12,3,68.9,75.0,2,0,71.0,5.1,0,6.099999999999994,0.1744132193764596,Low
T0214,Research task 214,Research,Medium,7,16,59.4,0.0,0,0,98.6,4.2,0,-59.4,0.08289773401259051,Low
T0215,Research task 215,Research,Medium,11,11,62.3,0.0,2,2,75.1,4.5,1,-62.3,0.2445064463452805,Medium
T0216,Documentation task 216,Documentation,High,4,16,91.8,0.0,3,2,87.1,10.0,1,-91.8,0.2509372412889171,Medium
T0217,Research task 217,Research,Low,2,12,85.7,0.0,4,3,84.4,0.6,0,-85.7,0.13564644400187345,Low
T0218,Documentation task 218,Documentation,Low,2,8,0.0,0.0,2,0,82.5,4.4,1,0.0,0.02475941776925554,Low
T0219,Research task 219,Research,Medium,7,17,47.1,0.0,4,3,77.0,8.0,0,-47.1,0.31659741662663127,Medium
T0220,Research task 220,Research,Low,13,8,50.9,38.5,3,0,65.3,1.3,1,-12.399999999999999,0.026458468057892662,Low
T0221,Presentation task 221,Presentation,Medium,2,19,11.2,0.0,1,1,100.0,3.4,0,-11.2,0.14011764723821502,Low
T0222,Design task 222,Design,High,7,20,57.4,0.0,5,3,51.9,3.7,2,-57.4,0.293385585407385,Medium
T0223,Presentation task 223,Presentation,Low,10,11,86.2,0.0,2,0,70.1,4.4,1,-86.2,0.16948650252166222,Low
T0224,Development task 224,Development,Medium,3,13,27.8,0.0,0,0,70.3,1.0,0,-27.8,0.0,Low
